ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Surface,Kitchen,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,url
10032668,Uccle,1180,1974,4,,5800,HOUSE,EXCEPTIONAL_PROPERTY,5500000,NORMAL_SALE,6,6,,12,,True,HYPER_EQUIPPED,False,False,,True,,,False,,,True,TO_BE_DONE_UP,50,E,0,False,BUY_REGULAR,FUELOIL,,,,,4,4,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10032668
11129426,SINT-AGATHA-BERCHEM,1082,2020,4,880,3113,HOUSE,VILLA,5500000,NORMAL_SALE,6,5,8,19,36,True,USA_HYPER_EQUIPPED,True,True,1,False,,,False,,,,,,B,6615,,BUY_REGULAR,,,True,,,4,6,https://www.immoweb.be/en/classified/house/for-sale/SINT-AGATHA-BERCHEM/1082/11129426
9789173,Ixelles,1050,1894,3,,421,HOUSE,MIXED_USE_BUILDING,4990000,NORMAL_SALE,22,,11,33,,True,INSTALLED,False,False,,False,,,True,136,,,GOOD,,,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,,,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/9789173
11129427,BRUSSEL,1000,2020,4,880,3113,HOUSE,MANOR_HOUSE,5500000,NORMAL_SALE,6,5,8,19,36,True,USA_HYPER_EQUIPPED,True,True,1,False,,,False,,,,,,B,6615,,BUY_REGULAR,,,True,,,4,6,https://www.immoweb.be/en/classified/house/for-sale/BRUSSEL/1000/11129427
10372189,Uccle,1180,1975,4,1173,5705,HOUSE,VILLA,5500000,NORMAL_SALE,6,6,7,19,,True,HYPER_EQUIPPED,False,False,,True,,,False,,,True,AS_NEW,,E,18790,False,BUY_REGULAR,GAS,,True,CONNECTED,,5,5,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10372189
10938665,Ixelles,1050,,,1200,1450,HOUSE,HOUSE,5750000,NORMAL_SALE,0,7,,7,,True,INSTALLED,False,True,1,True,,,False,,,False,AS_NEW,,C,0,False,BUY_REGULAR,GAS,,False,CONNECTED,,2,1,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10938665
10937231,Ixelles,1050,1939,2,1200,1450,HOUSE,MANSION,5750000,NORMAL_SALE,10,6,12,28,,True,HYPER_EQUIPPED,False,False,,False,,,False,,,False,AS_NEW,,C,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,2,,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10937231
9854478,Uccle,1180,1975,,1173,5700,HOUSE,VILLA,5500000,NORMAL_SALE,6,6,,12,,True,USA_INSTALLED,False,True,1,True,,,False,,,True,TO_BE_DONE_UP,200,E,18790,False,BUY_REGULAR,FUELOIL,,True,CONNECTED,,5,,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/9854478
10971295,Forest,1190,1938,2,1200,1450,HOUSE,EXCEPTIONAL_PROPERTY,5750000,NORMAL_SALE,9,8,9,26,,True,USA_HYPER_EQUIPPED,False,False,,True,,,True,1140,,False,AS_NEW,,C,0,False,BUY_REGULAR,GAS,,,CONNECTED,,2,,https://www.immoweb.be/en/classified/house/for-sale/Forest/1190/10971295
10372029,Forest,1190,1968,4,800,4895,HOUSE,VILLA,5950000,NORMAL_SALE,7,6,7,20,50,True,HYPER_EQUIPPED,False,False,,True,200,,False,,,True,GOOD,250,E,17785,False,BUY_REGULAR,FUELOIL,,True,CONNECTED,,9,9,https://www.immoweb.be/en/classified/house/for-sale/Forest/1190/10372029
9947478,Vorst,1190,1968,4,1500,4895,HOUSE,HOUSE,5950000,NORMAL_SALE,7,6,,13,,False,,False,False,,True,,,False,,,True,GOOD,,A++,17785,False,BUY_REGULAR,GAS,,True,CONNECTED,,3,5,https://www.immoweb.be/en/classified/house/for-sale/Vorst/1190/9947478
10940528,BRUXELLES,1190,1964,4,1100,4895,HOUSE,VILLA,5950000,NORMAL_SALE,6,6,10,22,20,True,HYPER_EQUIPPED,False,False,,True,200,,True,3000,,True,AS_NEW,63,E,17785,False,BUY_REGULAR,GAS,,True,CONNECTED,,4,10,https://www.immoweb.be/en/classified/house/for-sale/BRUXELLES/1190/10940528
9294472,Bruxelles,1190,1968,4,1100,0,HOUSE,HOUSE,5950000,NORMAL_SALE,5,7,10,22,,True,INSTALLED,False,True,1,False,,,False,,,True,AS_NEW,150,E,17785,False,BUY_REGULAR,FUELOIL,,False,CONNECTED,,1,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1190/9294472
10685897,Ixelles,1050,1920,2,711,320,HOUSE,HOUSE,4900000,NORMAL_SALE,6,4,7,17,23,True,HYPER_EQUIPPED,False,False,,True,,,True,120,,False,AS_NEW,70,D,4184,False,BUY_REGULAR,,,,CONNECTED,,1,5,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10685897
10485096,Ixelles,1050,1902,2,650,320,HOUSE,HOUSE,4900000,NORMAL_SALE,6,5,7,18,,True,INSTALLED,False,True,1,False,,,False,,,False,AS_NEW,76,,4,False,BUY_REGULAR,GAS,,False,CONNECTED,,1,,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10485096
10927363,Uccle,1180,,4,700,5000,HOUSE,EXCEPTIONAL_PROPERTY,4900000,NORMAL_SALE,5,5,,10,,False,,False,False,,False,,,False,,,,AS_NEW,,,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10927363
10475411,Molenbeek-Saint-Jean,1080,2023,2,,0,HOUSE,APARTMENT_BLOCK,4800000,NORMAL_SALE,0,,,,,True,USA_INSTALLED,False,False,,True,,,False,,,False,AS_NEW,,,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,10,10,https://www.immoweb.be/en/classified/house/for-sale/Molenbeek-Saint-Jean/1080/10475411
10817800,Uccle,1180,1910,4,700,7500,HOUSE,EXCEPTIONAL_PROPERTY,4500000,NORMAL_SALE,6,6,7,19,55,True,HYPER_EQUIPPED,False,False,,True,,,False,,,True,AS_NEW,80,G,0,False,BUY_REGULAR,GAS,,,,,1,5,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10817800
10454309,Bruxelles,1080,,,2438,0,HOUSE,HOUSE,4800000,NORMAL_SALE,12,,,12,,False,,False,False,,False,,,False,,,False,,,,0,,BUY_REGULAR,,,False,NOT_CONNECTED,,12,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1080/10454309
10861766,Ixelles,1050,,2,1000,655,HOUSE,EXCEPTIONAL_PROPERTY,4790000,NORMAL_SALE,8,8,10,26,,True,USA_HYPER_EQUIPPED,False,False,,True,,,False,,,True,AS_NEW,,E,0,False,BUY_REGULAR,,,,,,3,3,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10861766
10511906,Uccle,1180,1910,4,700,75002,HOUSE,VILLA,4500000,NORMAL_SALE,6,6,7,19,,True,USA_HYPER_EQUIPPED,False,False,,True,200,,True,75,,True,AS_NEW,,G,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,2,2,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10511906
10768993,Ixelles,1050,,2,630,213,HOUSE,EXCEPTIONAL_PROPERTY,3950000,NORMAL_SALE,5,5,,10,,True,HYPER_EQUIPPED,False,False,,True,,,False,,,False,JUST_RENOVATED,,D,0,False,BUY_REGULAR,GAS,,,,,4,4,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10768993
10871841,Bruxelles,1000,,,750,0,HOUSE,APARTMENT_BLOCK,3900000,NORMAL_SALE,0,,,,,False,,False,False,,False,,,False,,,False,GOOD,,G,0,False,BUY_REGULAR,,,False,NOT_CONNECTED,,,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/10871841
10582452,Ixelles,1050,1920,2,530,213,HOUSE,MANSION,3950000,NORMAL_SALE,5,5,6,16,,True,HYPER_EQUIPPED,False,False,,True,,,False,,,False,AS_NEW,,D,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,1,2,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10582452
10734559,Uccle,1180,1920,3,650,2000,HOUSE,HOUSE,3950000,NORMAL_SALE,6,5,6,17,,True,USA_HYPER_EQUIPPED,False,False,,True,,,False,,,False,AS_NEW,,,0,False,BUY_REGULAR,,,,,,2,4,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10734559
10551894,Uccle,1180,1920,4,650,2000,HOUSE,VILLA,3950000,NORMAL_SALE,6,5,6,17,,True,USA_HYPER_EQUIPPED,False,False,,True,,,False,,,False,AS_NEW,,,0,False,BUY_REGULAR,,,,,,2,4,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10551894
10875663,Ixelles,1050,1900,2,760,378,HOUSE,HOUSE,3950000,NORMAL_SALE,6,5,7,18,,True,INSTALLED,False,True,1,False,,,False,,,False,AS_NEW,60,E,0,False,BUY_REGULAR,GAS,,False,CONNECTED,,3,,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/10875663
10582453,Bruxelles,1000,1920,2,530,213,HOUSE,MANSION,3950000,NORMAL_SALE,5,5,5,15,,True,HYPER_EQUIPPED,False,False,,True,,,False,,,False,AS_NEW,,D,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,2,1,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/10582453
9288291,Molenbeek-Saint-Jean,1080,1920,2,2343,0,HOUSE,MIXED_USE_BUILDING,3990000,NORMAL_SALE,18,10,,28,,False,,False,False,,False,,,False,,,,,,,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Molenbeek-Saint-Jean/1080/9288291
11003495,Ixelles,1050,1925,2,656,550,HOUSE,EXCEPTIONAL_PROPERTY,3950000,NORMAL_SALE,7,5,5,17,22,True,INSTALLED,False,False,,True,80,,True,320,,False,GOOD,93,E,7047,False,BUY_REGULAR,,,,,,1,2,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/11003495
11144068,Ixelles,1050,,,,,APARTMENT_GROUP,APARTMENT_GROUP,,NORMAL_SALE,,,,,,False,,False,False,,False,,,False,,,,,,A,0,False,BUY_REGULAR,,,,,,30,30,https://www.immoweb.be/en/classified/apartment_group/for-sale/Ixelles/1050/11144068
10732498,Elsene,1050,1925,,1155,465,HOUSE,MIXED_USE_BUILDING,4000000,NORMAL_SALE,0,,,,,False,,False,False,,False,,,False,,,,,,F,4432,False,BUY_REGULAR,GAS,,,CONNECTED,,,,https://www.immoweb.be/en/classified/house/for-sale/Elsene/1050/10732498
11077831,Brussels,1000,,2,632,,APARTMENT,KOT,4200000,NORMAL_SALE,22,,,22,,False,,False,False,,False,,,False,,,,JUST_RENOVATED,,,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/apartment/for-sale/Brussels/1000/11077831
11143907,Anderlecht,1070,2024,2,,0,HOUSE,APARTMENT_BLOCK,4000000,NORMAL_SALE,30,10,10,50,,True,HYPER_EQUIPPED,False,False,,True,,,False,,,False,AS_NEW,,,0,False,BUY_REGULAR,GAS,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Anderlecht/1070/11143907
11077832,Brussels,1000,,2,632,632,HOUSE,APARTMENT_BLOCK,4200000,NORMAL_SALE,22,,,22,,False,,False,False,,False,,,False,,,,JUST_RENOVATED,,,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Brussels/1000/11077832
11157073,Bruxelles,1000,,,,,APARTMENT_GROUP,APARTMENT_GROUP,,NORMAL_SALE,,,,,,False,,False,False,,False,,,False,,,,,,A,0,False,BUY_REGULAR,,,,,,30,30,https://www.immoweb.be/en/classified/apartment_group/for-sale/Bruxelles/1000/11157073
10768994,Uccle,1180,1940,4,640,2500,HOUSE,VILLA,4050000,NORMAL_SALE,9,7,5,21,35,True,HYPER_EQUIPPED,False,False,,True,,,False,,,False,AS_NEW,90,D,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,1,,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10768994
11103500,Bruxelles,1000,1881,2,2295,0,HOUSE,MIXED_USE_BUILDING,4250000,NORMAL_SALE,34,29,,63,,False,,True,False,,True,,,False,,,,GOOD,,,0,False,BUY_REGULAR,,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/11103500
10821082,Uccle,1180,,4,600,3160,HOUSE,VILLA,4295000,NORMAL_SALE,5,5,,10,43,True,USA_HYPER_EQUIPPED,False,False,,True,50,,True,2700,,,AS_NEW,75,,0,False,BUY_REGULAR,,,,,,1,2,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10821082
11127802,Ixelles,1050,,,1100,560,HOUSE,HOUSE,4500000,NORMAL_SALE,0,,,,,False,,False,False,,False,,,False,,,False,GOOD,,,0,False,BUY_REGULAR,GAS,,False,CONNECTED,,,1,https://www.immoweb.be/en/classified/house/for-sale/Ixelles/1050/11127802
10819486,Saint-Gilles,1060,1980,2,1478,410,HOUSE,APARTMENT_BLOCK,3850000,NORMAL_SALE,36,,,36,,False,,False,False,,True,20,,True,200,,,,,,0,,BUY_REGULAR,GAS,,,,,,7,https://www.immoweb.be/en/classified/house/for-sale/Saint-Gilles/1060/10819486
11112420,Uccle,1180,1910,4,700,4282,HOUSE,VILLA,4500000,NORMAL_SALE,6,6,7,19,55,True,HYPER_EQUIPPED,False,False,,True,200,,False,,,True,AS_NEW,80,,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,2,4,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/11112420
11162816,Uccle,1180,,4,,3100,HOUSE,VILLA,4300000,NORMAL_SALE,5,,,5,,False,,False,False,,True,1,,True,1,,True,,,,0,False,BUY_REGULAR,,,False,CONNECTED,,,,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/11162816
11064959,Bruxelles,1000,1930,2,450,0,HOUSE,HOUSE,3800000,NORMAL_SALE,4,3,4,11,,True,USA_HYPER_EQUIPPED,False,False,,True,20,,True,70,,False,AS_NEW,,D,0,False,BUY_REGULAR,GAS,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/11064959
10679997,St-Gilles,1060,1900,2,3390,820,HOUSE,MIXED_USE_BUILDING,4320000,NORMAL_SALE,1,,,1,,False,,False,False,,True,50,,False,,,False,TO_RENOVATE,,,16229,False,BUY_REGULAR,FUELOIL,,True,CONNECTED,,,,https://www.immoweb.be/en/classified/house/for-sale/St-Gilles/1060/10679997
10965775,Bruxelles,1000,1906,2,513,200,HOUSE,HOUSE,3800000,NORMAL_SALE,4,3,4,11,15,False,,False,False,,True,20,,True,84,,,AS_NEW,57,D,0,False,BUY_REGULAR,GAS,,,,,,,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1000/10965775
11144272,Woluwe-Saint-Pierre,1150,,4,530,931,HOUSE,VILLA,3600000,NORMAL_SALE,5,4,,9,16,True,USA_HYPER_EQUIPPED,False,False,,True,100,,True,1,,False,,70,E,7700,False,BUY_REGULAR,,,False,CONNECTED,,3,5,https://www.immoweb.be/en/classified/house/for-sale/Woluwe-Saint-Pierre/1150/11144272
10990835,Uccle,1180,2023,4,694,1354,HOUSE,EXCEPTIONAL_PROPERTY,3300000,NORMAL_SALE,3,3,,6,40,True,USA_HYPER_EQUIPPED,False,False,,True,,,False,,,,AS_NEW,51,B,0,False,BUY_REGULAR,GAS,,True,CONNECTED,,2,2,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10990835
10547989,Anderlecht,1070,,2,,4,HOUSE,MIXED_USE_BUILDING,3800000,NORMAL_SALE,18,,,18,,True,INSTALLED,False,False,,False,,,False,,,False,AS_NEW,,,0,False,BUY_REGULAR,,,True,,,7,,https://www.immoweb.be/en/classified/house/for-sale/Anderlecht/1070/10547989
10907871,Brussels,1000,2017,2,308,,APARTMENT,APARTMENT,3324000,NORMAL_SALE,3,3,4,10,,True,USA_INSTALLED,False,False,,True,161,,False,,,False,AS_NEW,,B,0,False,BUY_REGULAR,,,,,,,1,https://www.immoweb.be/en/classified/apartment/for-sale/Brussels/1000/10907871
11099841,Bruxelles,1030,1935,2,785,372,HOUSE,MIXED_USE_BUILDING,3300000,NORMAL_SALE,0,1,5,6,,False,,False,False,,True,120,,True,50,,False,AS_NEW,50,F,0,False,BUY_REGULAR,FUELOIL,,True,CONNECTED,,1,1,https://www.immoweb.be/en/classified/house/for-sale/Bruxelles/1030/11099841
10769307,Uccle,1180,2023,,694,1354,HOUSE,HOUSE,3300000,NORMAL_SALE,3,2,3,8,,False,,False,False,,True,77,,False,,,False,,50,B,0,False,BUY_REGULAR,GAS,,False,CONNECTED,,1,,https://www.immoweb.be/en/classified/house/for-sale/Uccle/1180/10769307
