property_id,locality_name,postal_code,price,type_of_property,subtype_of_property,type_of_sale,number_of_bedrooms,living_area,equiped_kitchen,furnished,open_fire,terrace,garden,surface_of_good,number_of_facades,swimming_pool,state_of_building
11152295,brussels-city,1000,226000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,
11137660,uccle,1180,285000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
11027586,arlon,6700,265000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,GOOD
11152088,gent,9000,248000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,GOOD
11152498,mechelen,2812,258000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11152400,middelkerke,8430,295000,apartment,flat_studio,for sale,0,0,1,0,0,0,0,,0,0,GOOD
11152305,niel,2845,274500,apartment,duplex,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11152642,sint-agatha-berchem,1082,379000,apartment,penthouse,for sale,2,0,1,0,0,0,true,,0,0,
11152577,zwijnaarde,9052,495000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,
11150865,brussel,1000,440000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11151154,ganshoren,1083,385000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11151786,ixelles,1050,475000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,GOOD
11150874,ixelles,1050,430000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,GOOD
11137661,uccle,1180,380000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11152449,grace-hollogne,4460,275000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,JUST_RENOVATED
11150869,brussel,1000,840000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,AS_NEW
11137054,aalst,9300,239000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,TO_RENOVATE
11108163,gijzegem,9308,369000,house,house,for sale,3,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11136848,de-panne,8660,315000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
11136538,uccle,1180,299000,apartment,penthouse,for sale,2,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11136790,deurne,2100,249000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
10949380,malmedy,4960,495000,house,villa,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11136539,bruxelles,1000,265000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,GOOD
11146097,gijzegem,9308,369000,house,house,for sale,3,0,1,0,0,0,true,,0,0,TO_BE_DONE_UP
11150313,kraainem,1950,1025000,house,villa,for sale,4,0,1,0,0,750,true,,0,0,GOOD
11145239,knokke-heist,8300,1295000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11142377,middelkerke,8430,295000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11125957,ronse,9600,119000,house,house,for sale,3,0,1,0,0,130,true,,0,0,TO_RENOVATE
11154497,schaerbeek,1030,648000,house,apartment_block,for sale,4,0,1,0,0,80,true,,0,0,TO_BE_DONE_UP
11155353,aalst%20%289300%29,9300,205000,house,house,for sale,3,0,0,0,0,0,0,,0,0,
11100841,geraardsbergen,9500,250000,house,house,for sale,4,0,1,0,0,0,true,,0,0,
11155351,oostrozebeke,8780,105000,house,house,for sale,1,0,0,0,0,0,0,,0,0,GOOD
10964253,oudenburg,8460,445000,house,villa,for sale,3,0,0,0,0,0,0,,0,0,GOOD
11155344,stekene,9190,499000,house,house,for sale,4,0,0,0,0,80,true,,0,0,
11155349,ronse,9600,199500,house,house,for sale,4,0,0,0,0,0,0,,0,0,TO_RENOVATE
11154498,schaerbeek,1030,648000,house,house,for sale,4,0,1,0,0,80,true,,0,0,TO_BE_DONE_UP
11155346,knokke-heist,8300,645000,apartment,apartment,for sale,2,0,0,0,0,0,0,,0,0,GOOD
11155342,knokke-zoute,8300,3950000,house,house,for sale,4,0,1,0,0,0,0,,0,0,
11155343,louvain-la-neuve,1348,445000,apartment,apartment,for sale,3,0,0,0,0,0,true,,0,0,
11155337,geel,2440,220000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11155341,zwijndrecht,2070,369000,apartment,duplex,for sale,2,0,0,0,0,0,0,,0,0,
11155339,zwijndrecht,2070,319500,apartment,apartment,for sale,2,0,0,0,0,0,true,,0,0,
11155338,geel,2440,220000,apartment,apartment,for sale,2,0,1,0,0,20,0,,0,0,AS_NEW
11155340,zwijndrecht,2070,379000,apartment,duplex,for sale,2,0,0,0,0,0,true,,0,0,
11155321,gent,9000,175000,apartment,apartment,for sale,2,0,0,0,0,0,true,,0,0,
11155334,uccle,1180,250000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,GOOD
11132613,hamme,9220,239000,house,house,for sale,2,0,1,0,0,0,true,,0,0,JUST_RENOVATED
11155302,wielsbeke,8710,420000,house,villa,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11155305,heverlee,3001,485000,house,house,for sale,3,0,0,0,0,0,0,,0,0,TO_RENOVATE
11155262,ch%C3%8Anee,4032,349000,house,apartment_block,for sale,4,0,1,0,0,0,0,,0,0,GOOD
11155286,auderghem,1160,700000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11155256,schaerbeek,1030,325000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,JUST_RENOVATED
11048488,aiseau-presles,6250,309000,house,house,for sale,3,0,0,0,0,1968,true,,0,0,GOOD
11155285,kontich,2550,875000,house,mixed_use_building,for sale,4,0,1,0,0,0,true,,0,0,GOOD
11155255,arlon,6700,210000,apartment,ground_floor,for sale,2,0,1,0,0,0,0,,0,0,GOOD
11155287,borgerhout,2140,269000,apartment,apartment,for sale,1,0,1,0,0,70,0,,0,0,
11155247,fosses-la-ville,5070,215000,house,house,for sale,4,0,1,0,0,0,0,,0,0,
11155288,antwerp,2000,398000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,
11155243,ixelles,1050,159000,apartment,flat_studio,for sale,1,0,1,0,0,0,0,,0,0,TO_RENOVATE
11155242,ixelles,1050,169000,apartment,flat_studio,for sale,0,0,1,0,0,0,0,,0,0,TO_RENOVATE
11136002,eine,9700,174000,apartment,apartment,for sale,2,0,1,0,0,0,0,,0,0,GOOD
11079381,willebroek,2830,205000,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,GOOD
11136340,antwerp,2060,205000,apartment,apartment,for sale,1,0,1,0,0,0,0,,0,0,JUST_RENOVATED
11135548,ronse,9600,259000,house,villa,for sale,3,0,1,0,0,351,true,,0,0,TO_RENOVATE
11136327,ombret-rawsa,4540,219000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11135758,ganshoren,1083,179000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,TO_RENOVATE
10979572,lubbeek,3210,270000,apartment,apartment,for sale,3,0,1,0,0,0,0,,0,0,GOOD
11137175,bierges,1301,310000 - 945000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11136495,mol,2400,289000 - 315000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11136533,schoten,2900,295000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,GOOD
11135516,gent,9000,346500,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
11136885,oostende,8400,369000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11135496,gent,9050,462500 - 542500,house group,house_group,for sale,,0,0,0,0,0,0,,0,0,
11135530,brakel,9660,389000 - 498500,house group,house_group,for sale,,0,0,0,0,0,0,,0,0,
11135485,gent-sint-denijs-westrem,9051,1016000 - 1372000,apartment group,apartment_group,for sale,,0,0,0,0,0,0,,0,0,
11135545,zottegem,9620,645000,house,villa,for sale,4,0,1,0,0,2327,true,,0,0,GOOD
11146239,ixelles,1050,395000,house,house,for sale,3,0,1,0,0,0,0,,0,0,GOOD
11146779,graide,5555,159000,house,house,for sale,3,0,1,0,0,0,0,,0,0,GOOD
11148058,oudenburg,8460,633000,house,house,for sale,4,0,1,0,0,0,true,,0,0,GOOD
11115192,hannut,4280,400000,house,mansion,for sale,4,0,0,0,0,1050,true,,0,0,GOOD
11115195,hannut,4280,550000,house,mansion,for sale,5,0,0,0,0,1050,true,,0,0,GOOD
11147360,wemmel,1780,725000,house,apartment_block,for sale,3,0,1,0,0,0,true,,0,0,GOOD
11147947,ixelles,1050,999000,house,exceptional_property,for sale,3,0,1,0,0,35,true,,0,0,GOOD
11146658,ixelles,1050,999000,house,mixed_use_building,for sale,3,0,1,0,0,35,true,,0,0,GOOD
11147421,montegnee,4420,162138,apartment,apartment,for sale,1,0,1,0,0,0,0,,0,0,AS_NEW
11148718,forest,1190,399000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,AS_NEW
11148806,ixelles,1050,1495000,apartment,apartment,for sale,3,0,1,0,0,0,true,,0,0,AS_NEW
11148716,berchem-sainte-agathe,1082,339000,apartment,apartment,for sale,2,0,1,0,0,0,true,,0,0,AS_NEW
11147008,woluwe-saint-lambert,1200,155000,apartment,flat_studio,for sale,0,0,0,0,0,0,0,,0,0,GOOD
11147416,montegnee,4420,168652,apartment,apartment,for sale,1,0,1,0,0,0,true,,0,0,AS_NEW
